Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
JBLU,JetBlue Airways Corporation,12.22,$3.3B,2002,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/jblu,
JCTCF,Jewett-Cameron Trading Company,6.76,$23.53M,n/a,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/jctcf,
JFIN,Jiayin Group Inc.,4.55,$245.81M,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfin,
JMPNL,JMP Group LLC,20.9088,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/jmpnl,
JMPNZ,JMP Group LLC,19.5,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/jmpnz,
JBSS,"John B. Sanfilippo & Son, Inc.",82.34,$949.94M,1991,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/jbss,
JOUT,Johnson Outdoors Inc.,80.31,$809.73M,n/a,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/jout,
JNCE,"Jounce Therapeutics, Inc.",5.56,$189.34M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/jnce,
YY,JOYY Inc.,75.42,$6.07B,2012,Technology,EDP Services,https://old.nasdaq.com/symbol/yy,
KALU,Kaiser Aluminum Corporation,73.39,$1.16B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/kalu,
KXIN,Kaixin Auto Holdings,0.97,$59.51M,2017,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/kxin,
KALA,"Kala Pharmaceuticals, Inc.",12.34,$687.53M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/kala,
KLDO,"Kaleido Biosciences, Inc.",6.99,$251.33M,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/kldo,
KALV,"KalVista Pharmaceuticals, Inc.",10.41,$185.77M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/kalv,
KMDA,Kamada Ltd.,7.71,$343.28M,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/kmda,
KNDI,"Kandi Technologies Group, Inc.",3.155,$166.74M,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/kndi,
KRTX,"Karuna Therapeutics, Inc.",92.86,$2.43B,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/krtx,
KPTI,Karyopharm Therapeutics Inc.,16.7,$1.22B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/kpti,
KZIA,Kazia Therapeutics Limited,3,$21.65M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/kzia,
KBLM,KBL Merger Corp. IV,10.8,$47.78M,2017,Finance,Business Services,https://old.nasdaq.com/symbol/kblm,
KBLMR,KBL Merger Corp. IV,0.1329,n/a,2017,Finance,Business Services,https://old.nasdaq.com/symbol/kblmr,
KBLMU,KBL Merger Corp. IV,10.6,n/a,2017,Finance,Business Services,https://old.nasdaq.com/symbol/kblmu,
KBLMW,KBL Merger Corp. IV,0.1,n/a,2017,Finance,Business Services,https://old.nasdaq.com/symbol/kblmw,
KBSF,KBS Fashion Group Limited,2.89,$7.49M,2013,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/kbsf,
KRNY,Kearny Financial,8.25,$690.22M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/krny,
KELYA,"Kelly Services, Inc.",14.5,$569.25M,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/kelya,
KELYB,"Kelly Services, Inc.",15.48,$607.72M,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/kelyb,
KFFB,Kentucky First Federal Bancorp,6.5,$53.7M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/kffb,
KROS,"Keros Therapeutics, Inc.",34.3,$691.1M,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/kros,
KEQU,Kewaunee Scientific Corporation,9.345,$25.7M,n/a,Capital Goods,Medical Specialities,https://old.nasdaq.com/symbol/kequ,
KTCC,Key Tronic Corporation,4.94,$53.15M,1983,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/ktcc,
KZR,"Kezar Life Sciences, Inc.",4.84,$184.78M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/kzr,
KFRC,"Kforce, Inc.",29.02,$636.18M,1995,Technology,Professional Services,https://old.nasdaq.com/symbol/kfrc,
KE,"Kimball Electronics, Inc.",13.1,$327.33M,n/a,Technology,Electrical Products,https://old.nasdaq.com/symbol/ke,
KBAL,"Kimball International, Inc.",11.31,$416.6M,n/a,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/kbal,
KIN,"Kindred Biosciences, Inc.",4.34,$170.52M,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/kin,
KGJI,Kingold Jewelry Inc.,1.0483,$11.79M,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/kgji,
KC,Kingsoft Cloud Holdings Limited,20.44,$4.2B,2020,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/kc,
KINS,"Kingstone Companies, Inc",4.71,$50.84M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/kins,
KNSA,"Kiniksa Pharmaceuticals, Ltd.",21.52,$1.26B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/knsa,
KNSL,"Kinsale Capital Group, Inc.",151.94,$3.38B,2016,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/knsl,
KIRK,"Kirkland&#39;s, Inc.",1.61,$22.56M,2002,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/kirk,
KTOV,Kitov Pharma Ltd.,0.4488,$46.79M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ktov,
KTOVW,Kitov Pharma Ltd.,0.0496,n/a,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ktovw,
KLAC,KLA Corporation ,184.69,$28.64B,1980,Capital Goods,Electronic Components,https://old.nasdaq.com/symbol/klac,
KLXE,"KLX Energy Services Holdings, Inc. ",2.49,$61.91M,n/a,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/klxe,
KOD,Kodiak Sciences Inc,58.06,$2.58B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/kod,
