userId,stockSymbol,stockName,fairValue,investmentName,starRating,analystRating,Date,comment
hankmoody789,DWAW,-,0,AdvisorShares DWA FSM All Cap World ETF,-,-,2020-06-22,
hankmoody789,US00768Y4879,-,0,AdvisorShares DWA FSM US Core ETF,-,-,2020-06-22,
hankmoody789,DWMC,-,0,AdvisorShares Dorsey Wright Micro-Cap ETF,-,-,2020-06-22,
hankmoody789,DWSH,-,0,AdvisorShares Dorsey Wright Short ETF,-,-,2020-06-22,
hankmoody789,ACT,-,0,AdvisorShares Vice ETF,-,-,2020-06-22,
hankmoody789,AEGN,Aegion Corp Class A,16.78,-,-,-,2020-06-22,
hankmoody789,AGLE,Aeglea BioTherapeutics Inc,10.43,-,-,-,2020-06-22,
hankmoody789,AEHR,Aehr Test Systems,2.48,-,-,-,2020-06-22,
hankmoody789,AMTX,Aemetis Inc,1.26,-,-,-,2020-06-22,
hankmoody789,AERI,Aerie Pharmaceuticals Inc,18.52,-,-,-,2020-06-22,
hankmoody789,AVAV,AeroVironment Inc,66.2,-,-,-,2020-06-22,
hankmoody789,ARPO,Aerpio Pharmaceuticals Inc,1.48,-,-,-,2020-06-22,
hankmoody789,AIH,Aesthetic Medical International Holdings Group Ltd ADR,7.54,-,-,-,2020-06-22,
hankmoody789,AEZS,AEterna Zentaris Inc,0.84,-,-,-,2020-06-22,
hankmoody789,AEMD,Aethlon Medical Inc,3.55,-,-,-,2020-06-22,
hankmoody789,AFMD,Affimed NV,4.33,-,-,-,2020-06-22,
hankmoody789,AFYA,Afya Ltd,20.46,-,-,-,2020-06-22,
hankmoody789,AGBA,AGBA Acquisition Ltd,9.91,-,-,-,2020-06-22,
hankmoody789,AGBAR,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,,-,—,-,-,-,2020-06-22,
hankmoody789,AGBAW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,AGEN,Agenus Inc,4.8,-,-,-,2020-06-22,
hankmoody789,AGRX,Agile Therapeutics Inc,3.77,-,-,-,2020-06-22,
hankmoody789,AGYS,Agilysys Inc,24.9,-,-,-,2020-06-22,
hankmoody789,AGIO,Agios Pharmaceuticals Inc,47.11,-,-,-,2020-06-22,
hankmoody789,AGMH,AGM Group Holdings Inc Class A,19.16,-,-,-,2020-06-22,
hankmoody789,AGNC,AGNC Investment Corp,14.54,-,-,-,2020-06-22,
hankmoody789,AGNCM,AGNC Investment Corp Pref Share,25.45,-,-,-,2020-06-22,
hankmoody789,AGNCN,AGNC Investment Corp Pref Share,25.86,-,-,-,2020-06-22,
hankmoody789,AGNCO,AGNC Investment Corp Pref Share,25.11,-,-,-,2020-06-22,
hankmoody789,AGNCP,AGNC Investment Corp Pref Share,23.89,-,-,-,2020-06-22,
hankmoody789,AGFS,AgroFresh Solutions Inc,4.17,-,-,-,2020-06-22,
hankmoody789,AGFSW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,AIKI,AIkido Pharma Inc,0.83,-,-,-,2020-06-22,
hankmoody789,ALRN,Aileron Therapeutics Inc,1.39,-,-,-,2020-06-22,
hankmoody789,AIMT,Aimmune Therapeutics Inc,20.19,-,-,-,2020-06-22,
hankmoody789,AIRT,Air T Inc,18.92,-,-,-,2020-06-22,
hankmoody789,AIRTP,Air T Inc Pref Share,28.41,-,-,-,2020-06-22,
hankmoody789,AIRTW,-,0,-,-,-,2020-06-22,No result in autocomplete search
hankmoody789,ATSG,Air Transport Services Group Inc,24.66,-,-,-,2020-06-22,
hankmoody789,AIRG,Airgain Inc,12.3,-,-,-,2020-06-22,
hankmoody789,ANTE,AirNet Technology Inc ADR,1.45,-,-,-,2020-06-22,
hankmoody789,AKAM,Akamai Technologies Inc,70,-,-,-,2020-06-22,
hankmoody789,AKTX,Akari Therapeutics PLC ADR,2.05,-,-,-,2020-06-22,
hankmoody789,AKCA,Akcea Therapeutics Inc,17.35,-,-,-,2020-06-22,
hankmoody789,AKBA,Akebia Therapeutics Inc,14.74,-,-,-,2020-06-22,
hankmoody789,KERN,Akerna Corp Ordinary Shares - Class A,12.86,-,-,-,2020-06-22,
