Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PXLW,"Pixelworks, Inc.",3.52,$138.24M,2000,Technology,Semiconductors,https://old.nasdaq.com/symbol/pxlw
PLYA,Playa Hotels & Resorts N.V.,3.8,$505.9M,n/a,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/plya
PLXS,Plexus Corp.,62.17,$1.81B,n/a,Technology,Electrical Products,https://old.nasdaq.com/symbol/plxs
PLRX,"Pliant Therapeutics, Inc.",22.85,$781.5M,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/plrx
PLUG,"Plug Power, Inc.",5.06,$1.64B,1999,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/plug
PLBC,Plumas Bancorp,21.69,$112.32M,n/a,Finance,Finance Companies,https://old.nasdaq.com/symbol/plbc
PS,"Pluralsight, Inc.",17.95,$2.57B,2018,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/ps
PSTI,"Pluristem Therapeutics, Inc.",7.28,$181.32M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/psti
PSTV,"PLUS THERAPEUTICS, Inc.",1.97,$8.1M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/pstv
PLXP,PLx Pharma Inc.,3.3,$30.22M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/plxp
PCOM,"Points International, Ltd.",10.06,$133.04M,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/pcom
POLA,"Polar Power, Inc.",1.44,$14.58M,2016,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/pola
PTE,"PolarityTE, Inc.",1.32,$50.77M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/pte
PYPD,PolyPid Ltd.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pypd
POOL,Pool Corporation,252.67,$10.09B,1995,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/pool
BPOP,"Popular, Inc.",38.11,$3.2B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/bpop
BPOPM,"Popular, Inc.",24.7,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/bpopm
BPOPN,"Popular, Inc.",24.75,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/bpopn
KCAPL,Portman Ridge Finance Corporation,24,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/kcapl
PTMN,Portman Ridge Finance Corporation,1.35,$60.38M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ptmn
PTLA,"Portola Pharmaceuticals, Inc.",17.94,$1.41B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ptla
PPHI,"Positive Physicians Holdings, Inc.",10.15,$36.7M,2019,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pphi
PBPB,Potbelly Corporation,2.62,$62.39M,2013,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/pbpb
PCH,PotlatchDeltic Corporation,35.11,$2.35B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pch
POWL,"Powell Industries, Inc.",26.5,$307.77M,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/powl
POWI,"Power Integrations, Inc.",111.62,$3.33B,1997,Technology,Semiconductors,https://old.nasdaq.com/symbol/powi
PBTS,"Powerbridge Technologies Co., Ltd.",2.67,$24.5M,2019,Technology,EDP Services,https://old.nasdaq.com/symbol/pbts
PWFL,"PowerFleet, Inc.",4.96,$148.3M,n/a,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/pwfl
PPD,"PPD, Inc.",25.65,$8.94B,2020,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/ppd
PRAA,"PRA Group, Inc.",36.57,$1.67B,2002,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/praa
PRAH,"PRA Health Sciences, Inc.",94.63,$6.03B,2014,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/prah
PGEN,"Precigen, Inc.",4.14,$708M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/pgen
PRPO,"Precipio, Inc.",0.975,$10.86M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/prpo
DTIL,"Precision BioSciences, Inc.",7.48,$387.92M,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/dtil
POAI,Predictive Oncology Inc.,1.67,$17.78M,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/poai
