Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
MDB,"MongoDB, Inc.",193.67,$11.26B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mdb
MNCL,Monocle Acquisition Corporation,10.13,$225.7M,2019,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/mncl
MNCLU,Monocle Acquisition Corporation,10.83,n/a,2019,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/mnclu
MNCLW,Monocle Acquisition Corporation,0.31,n/a,2019,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/mnclw
MPWR,"Monolithic Power Systems, Inc.",214,$9.57B,2004,Technology,Semiconductors,https://old.nasdaq.com/symbol/mpwr
MNPR,Monopar Therapeutics Inc.,7.98,$84.86M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mnpr
MNRO,"Monro, Inc. ",56.75,$1.89B,1991,Consumer Services,Automotive Aftermarket,https://old.nasdaq.com/symbol/mnro
MRCC,Monroe Capital Corporation,7.57,$155.4M,2012,n/a,n/a,https://old.nasdaq.com/symbol/mrcc
MRCCL,Monroe Capital Corporation,23.08,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mrccl
MNST,Monster Beverage Corporation,68.3,$35.96B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/mnst
MORN,"Morningstar, Inc.",144.46,$6.18B,2005,Finance,Investment Managers,https://old.nasdaq.com/symbol/morn
MORF,"Morphic Holding, Inc.",22.49,$688.26M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/morf
MOR,MorphoSys AG,29.63,$3.87B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mor
MOSY,"MoSys, Inc.",1.9,$6.71M,2001,Technology,Semiconductors,https://old.nasdaq.com/symbol/mosy
MOTA,"Mota Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mota
MPAA,"Motorcar Parts of America, Inc.",15.89,$301.35M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/mpaa
MOTS,"Motus GI Holdings, Inc.",1.15,$33.15M,2018,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mots
MCACU,Mountain Crest Acquisition Corp,10.0225,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/mcacu
MOXC,"Moxian, Inc.",1.1,$17.81M,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/moxc
COOP,Mr. Cooper Group Inc.,11.72,$1.08B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/coop
MSBF,MSB Financial Corp.,11.2,$58.07M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/msbf
MTBC,"MTBC, Inc.",6.73,$83.45M,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mtbc
MTBCP,"MTBC, Inc.",25.605,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mtbcp
MTSC,MTS Systems Corporation,18.61,$357.98M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mtsc
GRIL,"Muscle Maker, Inc",2.1683,$17.22M,2020,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/gril
MBIO,"Mustang Bio, Inc.",3.15,$135.4M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mbio
MVBF,MVB Financial Corp.,13.25,$158.33M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mvbf
MYSZ,"My Size, Inc.",1.09,$7.79M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mysz
MYL,Mylan N.V.,15.94,$8.24B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/myl
MYOK,"MyoKardia, Inc.",94.16,$4.4B,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/myok
MYOS,MYOS RENS Technology Inc.,0.9103,$10.04M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/myos
MYRG,"MYR Group, Inc.",28.28,$471.87M,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/myrg
MYGN,"Myriad Genetics, Inc.",12.01,$895.4M,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/mygn
NBRV,Nabriva Therapeutics plc,0.81,$115.8M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nbrv
NAKD,Naked Brand Group Limited,1.01,$7.24M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/nakd
NNDM,Nano Dimension Ltd.,2.31,$106.41M,n/a,Technology,Electrical Products,https://old.nasdaq.com/symbol/nndm
NSTG,"NanoString Technologies, Inc.",30.74,$1.16B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/nstg
NAOV,"NanoVibronix, Inc.",2.4,$10.35M,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/naov
NH,"NantHealth, Inc.",2.85,$315.27M,2016,Technology,EDP Services,https://old.nasdaq.com/symbol/nh
NK,"NantKwest, Inc.",6.88,$677.74M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/nk
NSSC,"NAPCO Security Technologies, Inc.",23.66,$434.07M,n/a,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/nssc
NDAQ,"Nasdaq, Inc.",115.15,$18.89B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ndaq
NTRA,"Natera, Inc.",40.93,$3.22B,2015,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/ntra
NATH,"Nathan&#39;s Famous, Inc.",57.99,$244.33M,1993,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/nath
NKSH,"National Bankshares, Inc.",28.26,$183.4M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/nksh
FIZZ,National Beverage Corp.,57.03,$2.66B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/fizz
NCMI,"National CineMedia, Inc.",3.1,$247.23M,2007,Consumer Services,Advertising,https://old.nasdaq.com/symbol/ncmi
NESR,National Energy Services Reunited Corp.,5.93,$518.85M,2017,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/nesr
NESRW,National Energy Services Reunited Corp.,0.49,n/a,2017,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/nesrw
NGHC,National General Holdings Corp,20.24,$2.3B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nghc
NGHCN,National General Holdings Corp,23.48,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nghcn
NGHCO,National General Holdings Corp,23.61,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nghco
NGHCP,National General Holdings Corp,23.8501,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nghcp
NGHCZ,National General Holdings Corp,24.56,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nghcz
NHLD,National Holdings Corporation,1.93,$26.01M,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/nhld
NHLDW,National Holdings Corporation,0.13,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/nhldw
NATI,National Instruments Corporation,38.63,$5.04B,1995,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/nati
NRC,National Research Corporation,53.31,$1.34B,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/nrc
NSEC,"National Security Group, Inc.",16.1,$40.73M,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/nsec
EYE,"National Vision Holdings, Inc.",28.145,$2.26B,2017,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/eye
NWLI,"National Western Life Group, Inc.",202.2,$735.2M,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/nwli
NAII,"Natural Alternatives International, Inc.",6.5005,$44.13M,n/a,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/naii
