Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DNLI,Denali Therapeutics Inc.,24.71,$2.61B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/dnli
DENN,Denny&#39;s Corporation,11.62,$647.34M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/denn
XRAY,DENTSPLY SIRONA Inc.,43.38,$9.5B,1987,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/xray
DRMT,Dermavant Sciences Ltd.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/drmt
DMTK,"DermTech, Inc.",12.68,$229.59M,2017,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/dmtk
DXLG,"Destination XL Group, Inc.",0.5397,$27.57M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/dxlg
DSWL,"Deswell Industries, Inc.",2.51,$39.95M,1995,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/dswl
DXCM,"DexCom, Inc.",370.23,$34.91B,2005,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dxcm
DFPH,DFP Healthcare Acquisitions Corp.,9.76,$280.6M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/dfph
DFPHU,DFP Healthcare Acquisitions Corp.,10.07,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/dfphu
DFPHW,DFP Healthcare Acquisitions Corp.,1.25,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/dfphw
DMAC,DiaMedica Therapeutics Inc.,4.68,$66.17M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dmac
DHIL,"Diamond Hill Investment Group, Inc.",106.98,$346.1M,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/dhil
FANG,"Diamondback Energy, Inc.",46.96,$7.41B,2012,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/fang
DPHC,DiamondPeak Holdings Corp.,10.09,$353.15M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/dphc
DPHCU,DiamondPeak Holdings Corp.,10.27,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/dphcu
DPHCW,DiamondPeak Holdings Corp.,0.7749,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/dphcw
DRNA,"Dicerna Pharmaceuticals, Inc.",20.05,$1.48B,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/drna
DFFN,Diffusion Pharmaceuticals Inc.,0.9501,$56.66M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dffn
DGII,Digi International Inc.,10.9,$315.61M,1989,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/dgii
DMRC,Digimarc Corporation,16.94,$214.16M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/dmrc
DRAD,Digirad Corporation,2.85,$12.32M,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/drad
DRADP,Digirad Corporation,7.19,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/dradp
DGLY,"Digital Ally, Inc.",4.25,$95.41M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/dgly
APPS,"Digital Turbine, Inc.",9.38,$819.14M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/apps
DCOM,"Dime Community Bancshares, Inc.",14,$466.27M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/dcom
DCOMP,"Dime Community Bancshares, Inc.",19.93,n/a,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/dcomp
DIOD,Diodes Incorporated,47.58,$2.45B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/diod
DRTT,DIRTT Environmental Solutions Ltd.,1.39,$117.71M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/drtt
DISCA,"Discovery, Inc.",22.07,$11.18B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/disca
DISCB,"Discovery, Inc.",36.35,$18.42B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/discb
DISCK,"Discovery, Inc.",19.7,$9.98B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/disck
DISH,DISH Network Corporation,32.7,$17.14B,1995,Consumer Services,Television Services,https://old.nasdaq.com/symbol/dish
DHC,Diversified Healthcare Trust ,4.505,$1.07B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dhc
DHCNI,Diversified Healthcare Trust ,19.1,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dhcni
DHCNL,Diversified Healthcare Trust ,19.665,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dhcnl
DLHC,DLH Holdings Corp.,7.54,$93.15M,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/dlhc
BOOM,DMC Global Inc.,30.46,$449.32M,n/a,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/boom
DOCU,"DocuSign, Inc.",150.6,$27.64B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/docu
